%
% index = 1510, name = bbob_f014_i02_d05__bbob_f015_i04_d05
% instance = 1, reference value = 9.353650337966740e-001
% function evaluation | indicator value | target hit
1	7.002513251887930e-001	7.079457843841379e-001
2	6.896712502905619e-001	6.918309709189364e-001
5	6.340756914780147e-001	6.456542290346555e-001
7	4.862147025279645e-001	4.897788193684462e-001
10	4.585518493459042e-001	4.677351412871982e-001
19	4.244374861286179e-001	4.265795188015927e-001
22	3.904827428078277e-001	3.981071705534973e-001
25	3.566893631184144e-001	3.630780547701014e-001
52	3.100126622642325e-001	3.162277660168379e-001
104	2.662269361657197e-001	2.691534803926916e-001
129	2.589914414782074e-001	2.630267991895382e-001
141	2.546988702638858e-001	2.570395782768864e-001
157	2.377989211968733e-001	2.398832919019490e-001
195	2.327310986406139e-001	2.344228815319922e-001
201	2.267460232235817e-001	2.290867652767773e-001
207	2.081429591527871e-001	2.089296130854039e-001
231	2.016509993979022e-001	2.041737944669530e-001
314	1.896181305746774e-001	1.905460717963247e-001
485	1.859678862085545e-001	1.862087136662868e-001
531	1.789709348850921e-001	1.819700858609984e-001
632	1.776981445676676e-001	1.778279410038923e-001
673	1.722771911996025e-001	1.737800828749375e-001
790	1.695319105627016e-001	1.698243652461744e-001
851	1.564920638299931e-001	1.584893192461113e-001
928	1.532317220783481e-001	1.548816618912481e-001
983	1.507735235889309e-001	1.513561248436208e-001
1171	1.475500969045572e-001	1.479108388168208e-001
1234	1.444208991482885e-001	1.445439770745928e-001
1349	1.321511141964809e-001	1.348962882591654e-001
1470	1.202715481440876e-001	1.230268770812382e-001
1524	1.199487497096266e-001	1.202264434617413e-001
1579	1.164424236645121e-001	1.174897554939529e-001
1724	1.148069023157683e-001	1.148153621496883e-001
1903	1.100049409546174e-001	1.122018454301964e-001
1946	9.602786813347553e-002	9.772372209558107e-002
1982	9.528692598103139e-002	9.549925860214359e-002
2318	9.303840004448871e-002	9.332543007969910e-002
2797	9.115709796511318e-002	9.120108393559097e-002
3398	8.907794205513875e-002	8.912509381337455e-002
3667	8.391303972111086e-002	8.511380382023763e-002
3843	8.034450188911180e-002	8.128305161640990e-002
4680	7.901989913112706e-002	7.943282347242814e-002
4786	7.686068916356281e-002	7.762471166286916e-002
5264	7.560493066607865e-002	7.585775750291836e-002
5360	5.745090133867581e-002	5.754399373371569e-002
6204	5.390037786298429e-002	5.495408738576246e-002
6972	5.370177489438777e-002	5.370317963702527e-002
7135	5.048886702080113e-002	5.128613839913648e-002
8474	4.973948015326635e-002	5.011872336272722e-002
9748	4.889212382473296e-002	4.897788193684461e-002
10674	4.764038418900518e-002	4.786300923226383e-002
11970	4.662312935645285e-002	4.677351412871982e-002
18239	4.565044155959708e-002	4.570881896148749e-002
23363	4.428188408559342e-002	4.466835921509630e-002
27003	4.243439270522620e-002	4.265795188015926e-002
29291	3.749647081220553e-002	3.801893963205612e-002
30881	3.678880258241224e-002	3.715352290971726e-002
32045	3.618564104211841e-002	3.630780547701014e-002
35658	3.548027769787465e-002	3.548133892335755e-002
38872	3.352683972562998e-002	3.388441561392026e-002
42745	3.303609128180129e-002	3.311311214825911e-002
49028	3.227537860974483e-002	3.235936569296283e-002
51290	3.105963368249476e-002	3.162277660168379e-002
52501	3.081160070096467e-002	3.090295432513590e-002
57143	3.013027647783106e-002	3.019951720402016e-002
69510	2.943110846716890e-002	2.951209226666385e-002
73568	2.849202705564979e-002	2.884031503126606e-002
85119	2.813739054383035e-002	2.818382931264454e-002
91431	2.547774740177189e-002	2.570395782768863e-002
100964	2.484170443560674e-002	2.511886431509579e-002
105328	2.449190169168980e-002	2.454708915685030e-002
114827	2.393714331290286e-002	2.398832919019490e-002
130583	2.340837230563153e-002	2.344228815319923e-002
136704	2.244670744291544e-002	2.290867652767774e-002
142784	2.234047032471542e-002	2.238721138568340e-002
145136	2.176153526328817e-002	2.187761623949553e-002
160815	2.128287892791603e-002	2.137962089502233e-002
165038	2.071512407487608e-002	2.089296130854040e-002
177294	2.035902805158119e-002	2.041737944669530e-002
195949	1.994580944494284e-002	1.995262314968880e-002
202055	1.892042957850249e-002	1.905460717963247e-002
210552	1.853426462794539e-002	1.862087136662868e-002
227046	1.709407794884343e-002	1.737800828749376e-002
230317	1.695883597488512e-002	1.698243652461744e-002
243673	1.659214117792962e-002	1.659586907437561e-002
248362	1.603800682770529e-002	1.621810097358930e-002
255813	1.561242864569590e-002	1.584893192461113e-002
271605	1.536379347911387e-002	1.548816618912481e-002
294898	1.513443996089403e-002	1.513561248436208e-002
312723	1.468380442389750e-002	1.479108388168207e-002
331723	1.443692523740947e-002	1.445439770745927e-002
339066	1.397796689181086e-002	1.412537544622754e-002
340523	1.347834664263903e-002	1.348962882591653e-002
373808	1.317918241166682e-002	1.318256738556408e-002
390464	1.283418328734465e-002	1.288249551693134e-002
423044	1.258883349072193e-002	1.258925411794168e-002
430833	1.224476487622894e-002	1.230268770812382e-002
450426	1.196395108642800e-002	1.202264434617413e-002
469709	1.173491516529690e-002	1.174897554939530e-002
489217	1.147935913674314e-002	1.148153621496883e-002
500000	1.145372883973661e-002	1.148153621496883e-002
%
% index = 1511, name = bbob_f014_i03_d05__bbob_f015_i05_d05
% instance = 2, reference value = 9.182214431368591e-001
% function evaluation | indicator value | target hit
1	6.290960353841854e+000	6.309573444801933e+000
3	5.795386155058359e+000	5.888436553555890e+000
5	1.318473625078859e+000	1.348962882591654e+000
33	8.959273201093202e-001	9.120108393559098e-001
78	8.678040199357751e-001	8.709635899560806e-001
115	8.221867393265223e-001	8.317637711026710e-001
153	6.784561762102936e-001	6.918309709189364e-001
157	6.142649601213136e-001	6.165950018614822e-001
252	5.629389308805517e-001	5.754399373371569e-001
471	5.600970794316631e-001	5.623413251903491e-001
524	5.276489796347341e-001	5.370317963702527e-001
608	5.228166410571395e-001	5.248074602497725e-001
678	5.057022088548162e-001	5.128613839913648e-001
692	4.994061369689571e-001	5.011872336272722e-001
711	4.868850416837327e-001	4.897788193684462e-001
765	4.581685982484902e-001	4.677351412871982e-001
781	4.557530693540260e-001	4.570881896148750e-001
783	4.160350889384299e-001	4.168693834703354e-001
814	3.618773695405683e-001	3.630780547701014e-001
856	3.272971266149526e-001	3.311311214825911e-001
969	3.202586887129704e-001	3.235936569296283e-001
1019	3.031720853948539e-001	3.090295432513591e-001
1158	3.003838021762620e-001	3.019951720402016e-001
1176	2.947720800518668e-001	2.951209226666385e-001
1327	2.879553195584762e-001	2.884031503126606e-001
1351	2.812639169059896e-001	2.818382931264454e-001
1436	2.604523946558298e-001	2.630267991895382e-001
1446	2.563417489042922e-001	2.570395782768864e-001
1455	2.334044967773145e-001	2.344228815319922e-001
1558	2.044826365569060e-001	2.089296130854039e-001
1606	1.979499873661316e-001	1.995262314968880e-001
1710	1.920286781959762e-001	1.949844599758046e-001
1954	1.897005529126091e-001	1.905460717963247e-001
1983	1.778427145035707e-001	1.819700858609984e-001
2100	1.772034600000838e-001	1.778279410038923e-001
2126	1.730027800184368e-001	1.737800828749375e-001
2343	1.684755510283830e-001	1.698243652461744e-001
2470	1.657621755545987e-001	1.659586907437561e-001
