%
% index = 1690, name = bbob_f001_i02_d10__bbob_f013_i04_d10
% instance = 1, reference value = 7.140816019789280e-001
% function evaluation | indicator value | target hit
1	1.476556099896339e+000	1.479108388168207e+000
2	1.051353893580570e+000	1.071519305237606e+000
3	7.474125099209279e-001	7.585775750291838e-001
5	6.946776868262276e-001	7.079457843841379e-001
10	4.245752722306622e-001	4.265795188015927e-001
71	3.945653032873445e-001	3.981071705534973e-001
118	3.849989330117283e-001	3.890451449942806e-001
226	3.688205367513832e-001	3.715352290971726e-001
293	3.566548927159910e-001	3.630780547701014e-001
533	3.362649821689494e-001	3.388441561392026e-001
749	2.829998489358513e-001	2.884031503126606e-001
784	2.750956833960644e-001	2.754228703338166e-001
1151	2.690197738154472e-001	2.691534803926916e-001
1282	2.532179313111045e-001	2.570395782768864e-001
1318	2.240067567076884e-001	2.290867652767773e-001
1512	2.174083977607246e-001	2.187761623949552e-001
1966	2.132991220369788e-001	2.137962089502232e-001
2086	2.063964664057585e-001	2.089296130854039e-001
2526	2.030971507058630e-001	2.041737944669530e-001
2552	1.971319161516452e-001	1.995262314968880e-001
2631	1.806965052197553e-001	1.819700858609984e-001
2790	1.767404223129989e-001	1.778279410038923e-001
2839	1.737628364371656e-001	1.737800828749375e-001
3102	1.660468601443472e-001	1.698243652461744e-001
3201	1.658672510094352e-001	1.659586907437561e-001
3318	1.621781764698320e-001	1.621810097358930e-001
3348	1.514550841209735e-001	1.548816618912481e-001
3382	1.512884119187421e-001	1.513561248436208e-001
3453	1.438074570119986e-001	1.445439770745928e-001
3491	1.400322107876125e-001	1.412537544622755e-001
3777	1.360270079807369e-001	1.380384264602885e-001
3890	1.337908490659028e-001	1.348962882591654e-001
3911	1.317265642343608e-001	1.318256738556407e-001
4223	1.286054164203784e-001	1.288249551693134e-001
4385	1.254606344544009e-001	1.258925411794167e-001
4441	1.216550023843006e-001	1.230268770812382e-001
4443	1.202236462566293e-001	1.202264434617413e-001
4548	1.150183887513331e-001	1.174897554939529e-001
4706	1.145439595305442e-001	1.148153621496883e-001
4764	1.113321920425644e-001	1.122018454301964e-001
4813	1.095931307644200e-001	1.096478196143185e-001
5050	1.057907824278918e-001	1.071519305237607e-001
5172	1.033930375230530e-001	1.047128548050900e-001
5298	1.022751422339646e-001	1.023292992280754e-001
5303	9.988026181823628e-002	1.000000000000000e-001
5327	9.771973183552407e-002	9.772372209558107e-002
5503	9.472827192600364e-002	9.549925860214359e-002
5678	9.263461813556273e-002	9.332543007969910e-002
5796	9.115463759186615e-002	9.120108393559097e-002
5895	8.911243369730337e-002	8.912509381337455e-002
6111	8.693496445896631e-002	8.709635899560805e-002
6138	8.485985565269938e-002	8.511380382023763e-002
6245	8.281314259601069e-002	8.317637711026708e-002
6305	8.123350354642711e-002	8.128305161640990e-002
6441	7.936115565757695e-002	7.943282347242814e-002
6657	7.719139043285594e-002	7.762471166286916e-002
6816	7.529517537460795e-002	7.585775750291836e-002
6937	7.388142514916252e-002	7.413102413009177e-002
7239	7.236296927607389e-002	7.244359600749903e-002
7483	7.051226735075866e-002	7.079457843841380e-002
7823	6.901524259793912e-002	6.918309709189366e-002
7902	6.687910082726456e-002	6.760829753919818e-002
8018	6.599470938566521e-002	6.606934480075961e-002
8163	6.438828948918418e-002	6.456542290346556e-002
8421	6.304714549487567e-002	6.309573444801933e-002
8596	6.133792246345660e-002	6.165950018614822e-002
8813	5.993144916108106e-002	6.025595860743578e-002
8886	5.391765941986326e-002	5.495408738576246e-002
8948	5.317000113535209e-002	5.370317963702527e-002
9114	5.246341084844008e-002	5.248074602497726e-002
9370	5.126568959727329e-002	5.128613839913648e-002
9543	5.006759453764120e-002	5.011872336272722e-002
9711	4.890518802849442e-002	4.897788193684461e-002
9883	4.768890354211641e-002	4.786300923226383e-002
9977	4.674001171181630e-002	4.677351412871982e-002
10170	4.533680657420269e-002	4.570881896148749e-002
10419	4.461782742460141e-002	4.466835921509630e-002
10727	4.362398409258017e-002	4.365158322401658e-002
10964	4.259034984115018e-002	4.265795188015926e-002
11227	4.165169719627648e-002	4.168693834703355e-002
11457	4.047483619945425e-002	4.073802778041128e-002
11633	3.972264071681164e-002	3.981071705534973e-002
11863	3.875277279567069e-002	3.890451449942807e-002
12050	3.800171865615765e-002	3.801893963205612e-002
12353	3.707382123500147e-002	3.715352290971726e-002
12573	3.629296039610619e-002	3.630780547701014e-002
12917	3.539495999101427e-002	3.548133892335755e-002
13208	3.210994027247238e-002	3.235936569296283e-002
13385	3.149743853030540e-002	3.162277660168379e-002
13584	3.029903564217340e-002	3.090295432513590e-002
13640	2.976561701494018e-002	3.019951720402016e-002
13680	2.946503648770982e-002	2.951209226666385e-002
13873	2.883717489056292e-002	2.884031503126606e-002
14367	2.817343022095575e-002	2.818382931264454e-002
14731	2.750213172293936e-002	2.754228703338166e-002
15236	2.688688606818013e-002	2.691534803926915e-002
15525	2.626810335863705e-002	2.630267991895382e-002
15662	2.563861771898068e-002	2.570395782768863e-002
16290	2.506143127136251e-002	2.511886431509579e-002
16582	2.452832628585355e-002	2.454708915685030e-002
16763	2.395939088155574e-002	2.398832919019490e-002
17189	2.344182576643616e-002	2.344228815319923e-002
17292	2.289796897860852e-002	2.290867652767774e-002
17363	2.217170653023992e-002	2.238721138568340e-002
17594	2.183765397036797e-002	2.187761623949553e-002
17867	2.130000498431373e-002	2.137962089502233e-002
18250	2.087846118578396e-002	2.089296130854040e-002
18906	2.041471613722012e-002	2.041737944669530e-002
19269	1.991219052130588e-002	1.995262314968880e-002
19663	1.948244478400640e-002	1.949844599758046e-002
19788	1.897469374851324e-002	1.905460717963247e-002
19960	1.843853277066354e-002	1.862087136662868e-002
20029	1.759008071902712e-002	1.778279410038923e-002
20422	1.737185273480013e-002	1.737800828749376e-002
20605	1.696739223211963e-002	1.698243652461744e-002
20949	1.658949933888565e-002	1.659586907437561e-002
21218	1.604237445353585e-002	1.621810097358930e-002
21404	1.584846129007167e-002	1.584893192461113e-002
22055	1.539946616131005e-002	1.548816618912481e-002
22405	1.489750579731330e-002	1.513561248436208e-002
22557	1.474392007517589e-002	1.479108388168207e-002
22835	1.443410002305079e-002	1.445439770745927e-002
23760	1.411267844747743e-002	1.412537544622754e-002
24306	1.377719837638081e-002	1.380384264602885e-002
24934	1.348899456925901e-002	1.348962882591653e-002
25526	1.317166106832568e-002	1.318256738556408e-002
26371	1.288196779144979e-002	1.288249551693134e-002
27314	1.258865182115543e-002	1.258925411794168e-002
27873	1.229741662369210e-002	1.230268770812382e-002
28679	1.201949531943392e-002	1.202264434617413e-002
29363	1.173577713162821e-002	1.174897554939530e-002
30445	1.145844163079524e-002	1.148153621496883e-002
31129	1.121794401856424e-002	1.122018454301964e-002
32626	1.096375182359966e-002	1.096478196143185e-002
33552	1.071439313079703e-002	1.071519305237607e-002
34576	1.044770209760881e-002	1.047128548050900e-002
35136	9.627159092451265e-003	9.772372209558112e-003
35555	9.546653715660214e-003	9.549925860214359e-003
36354	9.013709745142151e-003	9.120108393559097e-003
37062	8.912197839181735e-003	8.912509381337459e-003
38199	8.701638958858893e-003	8.709635899560805e-003
40257	8.469070527568956e-003	8.511380382023768e-003
40956	8.317353358325286e-003	8.317637711026709e-003
41442	8.127035065631394e-003	8.128305161640995e-003
42645	7.942231360539509e-003	7.943282347242814e-003
43948	7.758877117491125e-003	7.762471166286920e-003
45866	7.519963586528289e-003	7.585775750291836e-003
47060	7.413046755007979e-003	7.413102413009177e-003
49221	7.240404807232981e-003	7.244359600749898e-003
49494	6.997386213558166e-003	7.079457843841380e-003
49963	6.908626100001758e-003	6.918309709189363e-003
52220	6.751589966006555e-003	6.760829753919818e-003
52499	6.565419265047168e-003	6.606934480075957e-003
53604	6.454029722989363e-003	6.456542290346556e-003
54739	6.296739197440449e-003	6.309573444801930e-003
55914	6.165419217856183e-003	6.165950018614822e-003
57006	6.023155557335791e-003	6.025595860743574e-003
58897	5.886153137172445e-003	5.888436553555890e-003
60748	5.727494730698002e-003	5.754399373371567e-003
60932	5.397911498710939e-003	5.495408738576248e-003
61287	5.344664132691746e-003	5.370317963702527e-003
63910	5.248051386996355e-003	5.248074602497728e-003
65407	5.106314612322582e-003	5.128613839913648e-003
66610	5.011082347786355e-003	5.011872336272725e-003
69302	4.890298591519571e-003	4.897788193684461e-003
73004	4.785319003639876e-003	4.786300923226385e-003
76139	4.659470008961830e-003	4.677351412871981e-003
78691	4.557982820451278e-003	4.570881896148752e-003
81739	4.462840214058517e-003	4.466835921509631e-003
85736	4.362757596551137e-003	4.365158322401661e-003
89336	4.262751462936310e-003	4.265795188015926e-003
93420	4.167152123741635e-003	4.168693834703355e-003
94203	3.857318598862403e-003	3.890451449942805e-003
94784	3.798187190676372e-003	3.801893963205613e-003
98846	3.713604561808914e-003	3.715352290971724e-003
102621	3.627712709303177e-003	3.630780547701014e-003
103629	3.547818342519715e-003	3.548133892335753e-003
108001	3.467290545720370e-003	3.467368504525317e-003
113966	3.387468372081814e-003	3.388441561392024e-003
117888	3.303627834408185e-003	3.311311214825911e-003
122170	3.235279604773655e-003	3.235936569296281e-003
128870	3.161841561079348e-003	3.162277660168379e-003
133603	3.090284725817405e-003	3.090295432513592e-003
135202	3.019951510191854e-003	3.019951720402016e-003
141483	2.948847543960853e-003	2.951209226666387e-003
146012	2.880503833659454e-003	2.884031503126606e-003
152719	2.808969389830551e-003	2.818382931264455e-003
164263	2.754198445493183e-003	2.754228703338166e-003
173592	2.691142339818153e-003	2.691534803926917e-003
