%
% index = 240, name = bbob_f006_i02_d02__bbob_f017_i04_d02
% instance = 1, reference value = 8.905430387989750e-001
% function evaluation | indicator value | target hit
1	8.148789397378975e+000	8.317637711026711e+000
2	1.892651134116646e+000	1.905460717963247e+000
3	1.736360336313475e+000	1.737800828749375e+000
4	1.075148368026975e+000	1.096478196143185e+000
8	9.411025503044750e-001	9.549925860214360e-001
17	8.762314575500375e-001	8.912509381337456e-001
18	3.364565347597618e-001	3.388441561392026e-001
54	1.535284888893874e-001	1.548816618912481e-001
109	1.224985113728183e-001	1.230268770812382e-001
126	8.907014240993982e-002	8.912509381337455e-002
152	6.885849018012979e-002	6.918309709189366e-002
206	6.737304637187047e-002	6.760829753919818e-002
243	6.604941541876763e-002	6.606934480075961e-002
260	6.393861523602507e-002	6.456542290346556e-002
285	6.228343337083508e-002	6.309573444801933e-002
290	5.132030493862971e-002	5.248074602497726e-002
297	4.147237691633843e-002	4.168693834703355e-002
299	3.875206311221058e-002	3.890451449942807e-002
391	3.755890856591837e-002	3.801893963205612e-002
421	3.704623215598657e-002	3.715352290971726e-002
461	3.524823750387707e-002	3.548133892335755e-002
469	2.814658880153820e-002	2.818382931264454e-002
495	2.175230349467994e-002	2.187761623949553e-002
575	1.974423116309798e-002	1.995262314968880e-002
588	1.869750258055969e-002	1.905460717963247e-002
597	1.666182034517016e-002	1.698243652461744e-002
599	1.247965722233957e-002	1.258925411794168e-002
616	1.225363398018164e-002	1.230268770812382e-002
672	1.152089428845615e-002	1.174897554939530e-002
687	1.133875534040674e-002	1.148153621496883e-002
740	1.078949760804948e-002	1.096478196143185e-002
746	1.060878067566529e-002	1.071519305237607e-002
752	9.877237562331276e-003	1.000000000000000e-002
771	9.609645650674459e-003	9.772372209558112e-003
774	9.137144973465072e-003	9.332543007969915e-003
817	9.020967795830615e-003	9.120108393559097e-003
836	8.499217554028604e-003	8.511380382023768e-003
842	8.102801252536152e-003	8.128305161640995e-003
871	7.910366603093744e-003	7.943282347242814e-003
1023	7.026814065312914e-003	7.079457843841380e-003
1081	6.910890354701160e-003	6.918309709189363e-003
1112	5.493306204577664e-003	5.495408738576248e-003
1156	5.283601855585629e-003	5.370317963702527e-003
1188	5.085041763913334e-003	5.128613839913648e-003
1217	4.752924910750411e-003	4.786300923226385e-003
1233	4.644280707219783e-003	4.677351412871981e-003
1266	4.485582279720179e-003	4.570881896148752e-003
1286	4.320697038404875e-003	4.365158322401661e-003
1289	4.240521623235405e-003	4.265795188015926e-003
1326	4.161410778190433e-003	4.168693834703355e-003
1336	4.056224642345563e-003	4.073802778041126e-003
1431	3.081959579137150e-003	3.090295432513592e-003
1501	2.937376439574591e-003	2.951209226666387e-003
1527	2.798270437618711e-003	2.818382931264455e-003
1566	2.751142719509381e-003	2.754228703338166e-003
1671	2.620663725418471e-003	2.630267991895381e-003
1677	2.519110695148541e-003	2.570395782768865e-003
1727	2.248543180573881e-003	2.290867652767772e-003
1744	2.179008913978042e-003	2.187761623949552e-003
1758	2.114146323320965e-003	2.137962089502233e-003
1767	2.066874940414243e-003	2.089296130854039e-003
1789	1.921466877772837e-003	1.949844599758046e-003
1840	1.882997452135493e-003	1.905460717963246e-003
1872	1.853585378307043e-003	1.862087136662868e-003
1879	1.693886161309388e-003	1.698243652461744e-003
1900	1.542489785641976e-003	1.548816618912481e-003
1941	1.512675676246356e-003	1.513561248436209e-003
1987	1.474283676999755e-003	1.479108388168207e-003
2122	1.443265475023825e-003	1.445439770745928e-003
2145	1.408036966985327e-003	1.412537544622754e-003
2152	1.369731776084238e-003	1.380384264602885e-003
2171	1.342604381663781e-003	1.348962882591653e-003
2211	1.278271340369064e-003	1.288249551693134e-003
2244	1.254070935852170e-003	1.258925411794168e-003
2285	1.225635758127286e-003	1.230268770812381e-003
2321	1.166293777840943e-003	1.174897554939529e-003
2358	1.131710085889082e-003	1.148153621496883e-003
2367	1.016138528387223e-003	1.023292992280754e-003
2383	9.989956198045435e-004	1.000000000000000e-003
2490	9.768506206921934e-004	9.772372209558111e-004
2563	9.541213703643248e-004	9.549925860214359e-004
2685	7.735614784176725e-004	7.762471166286919e-004
2761	7.496013395478229e-004	7.585775750291835e-004
2764	7.411206652137015e-004	7.413102413009177e-004
2773	7.053136879558997e-004	7.079457843841380e-004
2781	6.833910738753835e-004	6.918309709189362e-004
2883	6.652490572472969e-004	6.760829753919819e-004
2931	6.600717070578410e-004	6.606934480075958e-004
2962	6.452084371532108e-004	6.456542290346556e-004
3058	6.286215020099295e-004	6.309573444801930e-004
3202	6.152194550462786e-004	6.165950018614822e-004
3255	5.936901357189717e-004	6.025595860743575e-004
3287	5.818821435071842e-004	5.888436553555889e-004
3394	5.739460569803567e-004	5.754399373371566e-004
3520	5.598336443768393e-004	5.623413251903491e-004
3629	5.475413725852807e-004	5.495408738576249e-004
3863	5.361314303437004e-004	5.370317963702527e-004
4078	4.990636835712214e-004	5.011872336272725e-004
4118	4.881673369275807e-004	4.897788193684461e-004
4230	4.782332331246808e-004	4.786300923226385e-004
4332	4.675039108765766e-004	4.677351412871981e-004
4434	4.564401139226515e-004	4.570881896148752e-004
4448	4.312752932579267e-004	4.365158322401661e-004
4578	4.255988377859232e-004	4.265795188015926e-004
4853	4.065768538641379e-004	4.073802778041126e-004
5057	3.961534477801010e-004	3.981071705534974e-004
5180	3.852512075446235e-004	3.890451449942804e-004
5302	3.742298046917059e-004	3.801893963205612e-004
5329	3.702357595470884e-004	3.715352290971724e-004
5335	3.555526215618388e-004	3.630780547701014e-004
5390	3.545390601242815e-004	3.548133892335753e-004
5581	3.460037123766968e-004	3.467368504525317e-004
5625	3.365193977887815e-004	3.388441561392024e-004
5860	3.268646027548838e-004	3.311311214825911e-004
